id,lang_id,menu_id,code,lbl
UgWZtV+cR4SlheYM38Cy5A,MGExYjJhODVkY2FlNDI4OW,,增加,增加
w3ilTmPzTE+n/+YhyrjEnw,MGExYjJhODVkY2FlNDI4OW,,请选择需要 复制 的数据,请选择需要 复制 的数据
ED51CozhSxaduDt2GihRdQ,MGExYjJhODVkY2FlNDI4OW,,复制,复制
yNynpzj0Q7OXabid6MQoew,MGExYjJhODVkY2FlNDI4OW,,请选择需要修改的数据,请选择需要修改的数据
jJWm7f4HR2OhQRJEdfyXtw,MGExYjJhODVkY2FlNDI4OW,,修改,修改
8//HoJnwSmumcuO+yF2gCQ,MGExYjJhODVkY2FlNDI4OW,,请选择需要删除的数据,请选择需要删除的数据
E+PSos6/QAe+TjFZJdyI/A,MGExYjJhODVkY2FlNDI4OW,,确定删除已选择的 {0} 条数据,确定删除已选择的 {0} 条数据
UooBwSqHSequWKHArP/1qQ,MGExYjJhODVkY2FlNDI4OW,,确定,确定
RfswGVmiTdi501RrRHRNkw,MGExYjJhODVkY2FlNDI4OW,,取消,取消
ElDexdF5QZewJDjN4gD0yA,MGExYjJhODVkY2FlNDI4OW,,删除 {0} 条数据成功,删除 {0} 条数据成功
tBoPBn9xSUGuvZBVtrcpYw,MGExYjJhODVkY2FlNDI4OW,,请选择需要 彻底删除 的数据,请选择需要 彻底删除 的数据
la3VGdqVR1aZKAv4Pl7pPQ,MGExYjJhODVkY2FlNDI4OW,,确定 彻底删除 已选择的 {0} 条数据,确定 彻底删除 已选择的 {0} 条数据
0eZFxjpxSVuguNiCLgOwgw,MGExYjJhODVkY2FlNDI4OW,,彻底删除 {0} 条数据成功,彻底删除 {0} 条数据成功
dORs/VYFT8C3H12cs22asQ,MGExYjJhODVkY2FlNDI4OW,,锁定,锁定
oJsHDHvhSAaPxIX0/QebFQ,MGExYjJhODVkY2FlNDI4OW,,解锁,解锁
oiqtiX+XTg+gLoKGhNjk9Q,MGExYjJhODVkY2FlNDI4OW,,请选择需要 锁定 的数据,请选择需要 锁定 的数据
bOoaPVz7QESMQrqYy/U9SA,MGExYjJhODVkY2FlNDI4OW,,请选择需要 解锁 的数据,请选择需要 解锁 的数据
iiGbznXQTgCPsFB9XFxPXg,MGExYjJhODVkY2FlNDI4OW,,锁定 {0} 条数据成功,锁定 {0} 条数据成功
kKigJ268QEKonRJrM9uhoQ,MGExYjJhODVkY2FlNDI4OW,,解锁 {0} 条数据成功,解锁 {0} 条数据成功
P4Rj7h39S7iwavk+E7WoTw,MGExYjJhODVkY2FlNDI4OW,,请选择需要还原的数据,请选择需要还原的数据
f++hFl8CQiGSxFqj4XjCOA,MGExYjJhODVkY2FlNDI4OW,,确定还原已选择的 {0} 条数据,确定还原已选择的 {0} 条数据
Te6qPR8rRiCMG33Twuk6LQ,MGExYjJhODVkY2FlNDI4OW,,还原 {0} 条数据成功,还原 {0} 条数据成功
W6HBndHgR9GX1Gd4ubHRgw,MGExYjJhODVkY2FlNDI4OW,,{0} 的值已经存在,{0} 的值已经存在
Un7z+heNTbqNDDsoP03gKA,MGExYjJhODVkY2FlNDI4OW,,不能修改已经锁定的数据,不能修改已经锁定的数据
lmC+tZr/Tq+la8AaqP7lPw,MGExYjJhODVkY2FlNDI4OW,,不能删除已经锁定的数据,不能删除已经锁定的数据
